Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.9,4,10,0,0.09775632335555332
0.9,4,1010,0,0.733197312818992
0.9,4,2010,0,0.9514026043186704
0.9,4,3010,0,1.335360328918671
0.9,4,4010,0,1.2478527621731061
0.9,4,5010,0,1.2991675434117453
0.9,4,6010,0,1.4055351896786825
0.9,4,7010,0,1.4640664267040526
0.9,4,8010,0,1.5204630067621667
0.9,4,9010,0,1.4763655553831372
0.9,4,10010,0,1.4188392205483629
0.9,4,11010,0,1.5050716749272968
0.9,4,12010,0,1.4655803221608734
0.9,4,13010,0,1.4334684310115624
0.9,4,14010,0,1.4241190293934325
0.9,4,15010,0,1.4380867748082307
0.9,4,16010,0,1.422720527743764
0.9,4,17010,0,1.4115206057671505
0.9,4,18010,0,1.5336919429947258
0.9,4,19010,0,1.522119457078323
0.9,4,20010,0,1.5377464678908426
0.9,4,21010,0,1.5446375515876587
0.9,4,22010,0,1.532220211786991
0.9,4,23010,0,1.532220211786991
0.9,4,24010,0,1.532220211786991
0.9,4,25010,0,1.532220211786991
0.9,4,26010,0,1.532220211786991
0.9,4,27010,0,1.532220211786991
0.9,4,28010,0,1.532220211786991
0.9,4,29010,0,1.532220211786991
0.9,4,10,1,0.01589048662880943
0.9,4,1010,1,0.9097427324502493
0.9,4,2010,1,1.6948367120390766
0.9,4,3010,1,1.7715199525657868
0.9,4,4010,1,1.5546726090950653
0.9,4,5010,1,1.592885870890234
0.9,4,6010,1,1.5169735984832164
0.9,4,7010,1,1.9288946283044852
0.9,4,8010,1,1.8648341946761715
0.9,4,9010,1,1.7553300457573202
0.9,4,10010,1,1.777445483395504
0.9,4,11010,1,1.7893357180387481
0.9,4,12010,1,1.7303161061555485
0.9,4,13010,1,1.973560107181215
0.9,4,14010,1,1.9384498901199736
0.9,4,15010,1,1.9370654035122365
0.9,4,16010,1,1.9133681214408336
0.9,4,17010,1,1.8502304036070547
0.9,4,18010,1,1.81323422592092
0.9,4,19010,1,1.7721561269361177
0.9,4,20010,1,1.7172110589691838
0.9,4,21010,1,1.695956297349346
0.9,4,22010,1,1.6793854825287096
0.9,4,23010,1,1.6793854825287096
0.9,4,24010,1,1.6793854825287096
0.9,4,25010,1,1.6793854825287096
0.9,4,26010,1,1.6793854825287096
0.9,4,27010,1,1.6793854825287096
0.9,4,28010,1,1.6793854825287096
0.9,4,29010,1,1.6793854825287096
0.9,4,10,2,0.005908757560501887
0.9,4,1010,2,1.868019040133925
0.9,4,2010,2,1.7595636637409302
0.9,4,3010,2,1.8566390048628656
0.9,4,4010,2,1.6569878430704765
0.9,4,5010,2,2.0830480125180464
0.9,4,6010,2,1.9515392428638452
0.9,4,7010,2,2.123017159529374
0.9,4,8010,2,1.9859645727389386
0.9,4,9010,2,1.8679531547518038
0.9,4,10010,2,1.873143317916314
0.9,4,11010,2,1.793185402084407
0.9,4,12010,2,1.7444327241062094
0.9,4,13010,2,1.802987790820962
0.9,4,14010,2,1.8319385006815119
0.9,4,15010,2,1.8339618712684784
0.9,4,16010,2,1.7886437647023936
0.9,4,17010,2,1.7876600241388747
0.9,4,18010,2,1.7271064002423797
0.9,4,19010,2,1.7503831357357869
0.9,4,20010,2,1.6975866817012484
0.9,4,21010,2,1.650830420636539
0.9,4,22010,2,1.6490229911591077
0.9,4,23010,2,1.6490229911591077
0.9,4,24010,2,1.6490229911591077
0.9,4,25010,2,1.6490229911591077
0.9,4,26010,2,1.6490229911591077
0.9,4,27010,2,1.6490229911591077
0.9,4,28010,2,1.6490229911591077
0.9,4,29010,2,1.6490229911591077
0.9,4,10,3,0.15294826854351012
0.9,4,1010,3,0.8420070944857572
0.9,4,2010,3,2.213655495372484
0.9,4,3010,3,2.5287653638610808
0.9,4,4010,3,2.1342669998293364
0.9,4,5010,3,2.0470231889761523
0.9,4,6010,3,2.42896363343459
0.9,4,7010,3,2.341392832224094
0.9,4,8010,3,2.232663795003786
0.9,4,9010,3,2.38639664211634
0.9,4,10010,3,2.352367897204046
0.9,4,11010,3,2.2509446813667164
0.9,4,12010,3,2.16648518539623
0.9,4,13010,3,2.166344209052613
0.9,4,14010,3,2.133026762500842
0.9,4,15010,3,2.049873662934863
0.9,4,16010,3,1.9961683001719661
0.9,4,17010,3,2.1581559949894786
0.9,4,18010,3,2.346915945511963
0.9,4,19010,3,2.3230648376844867
0.9,4,20010,3,2.2750641469991537
0.9,4,21010,3,2.2290925202795764
0.9,4,22010,3,2.1775018951245886
0.9,4,23010,3,2.1775018951245886
0.9,4,24010,3,2.1775018951245886
0.9,4,25010,3,2.1775018951245886
0.9,4,26010,3,2.1775018951245886
0.9,4,27010,3,2.1775018951245886
0.9,4,28010,3,2.1775018951245886
0.9,4,29010,3,2.1775018951245886
0.9,4,10,4,0.0
0.9,4,1010,4,0.7579536232209427
0.9,4,2010,4,1.129277237620365
0.9,4,3010,4,0.9841837143107218
0.9,4,4010,4,0.9061431648608237
0.9,4,5010,4,0.9422934395934695
0.9,4,6010,4,1.089191049499549
0.9,4,7010,4,1.0470345382371506
0.9,4,8010,4,1.0484697056801013
0.9,4,9010,4,1.0283960888824168
0.9,4,10010,4,1.0271236893246372
0.9,4,11010,4,1.074409460027356
0.9,4,12010,4,1.1660978935393784
0.9,4,13010,4,1.2882550854298949
0.9,4,14010,4,1.2573008743786231
0.9,4,15010,4,1.2778538436787241
0.9,4,16010,4,1.2780469619992065
0.9,4,17010,4,1.3298548753928543
0.9,4,18010,4,1.3827386192974185
0.9,4,19010,4,1.348963859359292
0.9,4,20010,4,1.3517319151126217
0.9,4,21010,4,1.3279857758310638
0.9,4,22010,4,1.339316529597563
0.9,4,23010,4,1.339316529597563
0.9,4,24010,4,1.339316529597563
0.9,4,25010,4,1.339316529597563
0.9,4,26010,4,1.339316529597563
0.9,4,27010,4,1.339316529597563
0.9,4,28010,4,1.339316529597563
0.9,4,29010,4,1.339316529597563
0.9,4,10,5,0.00010980940149560859
0.9,4,1010,5,1.1844603241281653
0.9,4,2010,5,0.9398205601242822
0.9,4,3010,5,1.1560543726382682
0.9,4,4010,5,1.2735239947420702
0.9,4,5010,5,1.2431578974263742
0.9,4,6010,5,1.2686520354079507
0.9,4,7010,5,1.2221303106755323
0.9,4,8010,5,1.6644203144653
0.9,4,9010,5,1.937341767369363
0.9,4,10010,5,1.8744848284335012
0.9,4,11010,5,2.162771061511924
0.9,4,12010,5,2.2431478825512525
0.9,4,13010,5,2.328000065994661
0.9,4,14010,5,2.2541120258790834
0.9,4,15010,5,2.198898518201799
0.9,4,16010,5,2.2181772383334666
0.9,4,17010,5,2.151324834461886
0.9,4,18010,5,2.079073802861845
0.9,4,19010,5,2.08955147470151
0.9,4,20010,5,2.058254497200251
0.9,4,21010,5,2.0136150196505977
0.9,4,22010,5,1.97881304483038
0.9,4,23010,5,1.97881304483038
0.9,4,24010,5,1.97881304483038
0.9,4,25010,5,1.97881304483038
0.9,4,26010,5,1.97881304483038
0.9,4,27010,5,1.97881304483038
0.9,4,28010,5,1.97881304483038
0.9,4,29010,5,1.97881304483038
0.9,4,10,6,0.0
0.9,4,1010,6,0.9385477089459346
0.9,4,2010,6,0.8719919534664176
0.9,4,3010,6,1.0455550330023586
0.9,4,4010,6,0.9994221816116666
0.9,4,5010,6,1.0854128543690975
0.9,4,6010,6,1.555283803773705
0.9,4,7010,6,1.4745056087655424
0.9,4,8010,6,1.4144300542140424
0.9,4,9010,6,1.33380187863661
0.9,4,10010,6,1.335675918660135
0.9,4,11010,6,1.387457464130889
0.9,4,12010,6,1.3570259992402929
0.9,4,13010,6,1.3795299880171796
0.9,4,14010,6,1.3428745973170646
0.9,4,15010,6,1.3291637633010507
0.9,4,16010,6,1.2911548746540715
0.9,4,17010,6,1.3246556263500244
0.9,4,18010,6,1.5396412458461148
0.9,4,19010,6,1.5325780400538866
0.9,4,20010,6,1.6401019513772823
0.9,4,21010,6,1.6679893277417843
0.9,4,22010,6,1.6512196688139618
0.9,4,23010,6,1.6512196688139618
0.9,4,24010,6,1.6512196688139618
0.9,4,25010,6,1.6512196688139618
0.9,4,26010,6,1.6512196688139618
0.9,4,27010,6,1.6512196688139618
0.9,4,28010,6,1.6512196688139618
0.9,4,29010,6,1.6512196688139618
0.9,4,10,7,0.22457530015854746
0.9,4,1010,7,2.43287951785485
0.9,4,2010,7,2.1749531276118734
0.9,4,3010,7,2.0108779188214028
0.9,4,4010,7,2.029694154015524
0.9,4,5010,7,1.9992486634401396
0.9,4,6010,7,2.203908897133696
0.9,4,7010,7,2.1607954176649486
0.9,4,8010,7,2.4731633830438158
0.9,4,9010,7,2.340978684244368
0.9,4,10010,7,2.254671930620844
0.9,4,11010,7,2.3454794651707314
0.9,4,12010,7,2.224589956118247
0.9,4,13010,7,2.2208230189497984
0.9,4,14010,7,2.1294824185731107
0.9,4,15010,7,2.2056945969112047
0.9,4,16010,7,2.1933189505018835
0.9,4,17010,7,2.1430314388253304
0.9,4,18010,7,2.084868413676678
0.9,4,19010,7,2.1002526900134684
0.9,4,20010,7,2.054089686845389
0.9,4,21010,7,1.9986159175282596
0.9,4,22010,7,1.9740705485066978
0.9,4,23010,7,1.9740705485066978
0.9,4,24010,7,1.9740705485066978
0.9,4,25010,7,1.9740705485066978
0.9,4,26010,7,1.9740705485066978
0.9,4,27010,7,1.9740705485066978
0.9,4,28010,7,1.9740705485066978
0.9,4,29010,7,1.9740705485066978
0.9,4,10,8,0.0
0.9,4,1010,8,1.694858612795983
0.9,4,2010,8,2.247279314017075
0.9,4,3010,8,1.8115932295309134
0.9,4,4010,8,1.585091451469587
0.9,4,5010,8,1.8079216595645322
0.9,4,6010,8,1.67222312653325
0.9,4,7010,8,1.653174840438988
0.9,4,8010,8,1.6446146849450263
0.9,4,9010,8,1.7932837636493733
0.9,4,10010,8,1.7350641877307982
0.9,4,11010,8,1.8346189731625737
0.9,4,12010,8,1.9152197777508322
0.9,4,13010,8,1.8398561110015355
0.9,4,14010,8,1.8083337819796157
0.9,4,15010,8,1.850384602346463
0.9,4,16010,8,1.9326683003139988
0.9,4,17010,8,1.9356157493138684
0.9,4,18010,8,1.9205952291887054
0.9,4,19010,8,1.879393434132098
0.9,4,20010,8,1.8569180825198206
0.9,4,21010,8,1.901894902103169
0.9,4,22010,8,1.9557651671978986
0.9,4,23010,8,1.9557651671978986
0.9,4,24010,8,1.9557651671978986
0.9,4,25010,8,1.9557651671978986
0.9,4,26010,8,1.9557651671978986
0.9,4,27010,8,1.9557651671978986
0.9,4,28010,8,1.9557651671978986
0.9,4,29010,8,1.9557651671978986
0.9,4,10,9,0.0
0.9,4,1010,9,1.1140498609699234
0.9,4,2010,9,1.0938757148930254
0.9,4,3010,9,1.0668082379169748
0.9,4,4010,9,1.0568679646937182
0.9,4,5010,9,1.422416106563173
0.9,4,6010,9,1.4216654065499663
0.9,4,7010,9,1.6499600286895135
0.9,4,8010,9,1.9330257772331418
0.9,4,9010,9,1.7986738439311887
0.9,4,10010,9,1.8643989042779445
0.9,4,11010,9,1.8302458922468898
0.9,4,12010,9,1.766361967036464
0.9,4,13010,9,1.6848086566934786
0.9,4,14010,9,1.6623334920856543
0.9,4,15010,9,1.6829519979509215
0.9,4,16010,9,1.6800603780990773
0.9,4,17010,9,1.8143866354828035
0.9,4,18010,9,1.9948263967114612
0.9,4,19010,9,2.0077903668641075
0.9,4,20010,9,2.0029197861196235
0.9,4,21010,9,2.0397693539512898
0.9,4,22010,9,2.0241039968171806
0.9,4,23010,9,2.0241039968171806
0.9,4,24010,9,2.0241039968171806
0.9,4,25010,9,2.0241039968171806
0.9,4,26010,9,2.0241039968171806
0.9,4,27010,9,2.0241039968171806
0.9,4,28010,9,2.0241039968171806
0.9,4,29010,9,2.0241039968171806
0.9,4,10,10,0.0015551823413813449
0.9,4,1010,10,1.075217656443622
0.9,4,2010,10,1.7416488851459695
0.9,4,3010,10,1.4802691366366052
0.9,4,4010,10,4.543890275481979
0.9,4,5010,10,5.013960033297007
0.9,4,6010,10,4.31129891691684
0.9,4,7010,10,4.287211501831269
0.9,4,8010,10,4.067142547393767
0.9,4,9010,10,3.832633549239908
0.9,4,10010,10,3.52258444251272
0.9,4,11010,10,3.319081660844483
0.9,4,12010,10,3.250031281704829
0.9,4,13010,10,3.077934823573472
0.9,4,14010,10,2.963874555192768
