Iteration,Load Factor,Servers,Customers,Mean Wait Time
4,0.75,1,30000,3.035591995927646
4,0.75,1,40000,2.9933745129340563
5,0.75,1,100,1.8538009150971215
5,0.75,1,200,1.4558556904878106
5,0.75,1,300,1.290390998081761
5,0.75,1,400,1.5038494033529841
5,0.75,1,500,1.6126010076088237
5,0.75,1,600,1.809668476388675
5,0.75,1,700,1.7758754795347853
5,0.75,1,800,1.8102956564177957
5,0.75,1,900,2.045104901333245
5,0.75,1,1000,1.9257954703890852
5,0.75,1,2000,2.2737340610853867
5,0.75,1,3000,2.7153218674822286
5,0.75,1,4000,2.779453271722901
5,0.75,1,5000,2.678691790461551
5,0.75,1,6000,2.6054206437654224
5,0.75,1,7000,2.576869244800853
5,0.75,1,8000,2.517504021462141
5,0.75,1,9000,2.5206510410758947
5,0.75,1,10000,2.445243994471468
5,0.75,1,20000,2.6589053434272043
5,0.75,1,30000,2.7860996663975848
5,0.75,1,40000,2.859827403017739
6,0.75,1,100,1.9328484488339261
6,0.75,1,200,2.0334205019477967
6,0.75,1,300,1.6219471835304518
6,0.75,1,400,1.645053947484335
6,0.75,1,500,2.2666012457112874
6,0.75,1,600,2.3375678468107517
6,0.75,1,700,2.267777699088366
6,0.75,1,800,2.4118128297307506
6,0.75,1,900,2.418238861887783
6,0.75,1,1000,2.477343996240127
6,0.75,1,2000,3.000168427932054
6,0.75,1,3000,2.9457179039464796
6,0.75,1,4000,2.8920580496348904
6,0.75,1,5000,2.8120824715023818
6,0.75,1,6000,2.702972894117477
6,0.75,1,7000,2.865473917249148
6,0.75,1,8000,2.900934915717053
6,0.75,1,9000,2.7891330894492525
6,0.75,1,10000,2.721860147859077
6,0.75,1,20000,2.840472591844102
6,0.75,1,30000,3.1249579351064467
6,0.75,1,40000,3.0945778472990724
7,0.75,1,100,1.660946547253059
7,0.75,1,200,1.73909359274055
7,0.75,1,300,3.0296242270251925
7,0.75,1,400,4.10938835626441
7,0.75,1,500,4.382338376876634
7,0.75,1,600,3.9273157030617405
7,0.75,1,700,3.741693170412227
7,0.75,1,800,3.367902244149124
7,0.75,1,900,3.12625565729705
7,0.75,1,1000,2.9760281646032865
7,0.75,1,2000,3.0483771496161567
7,0.75,1,3000,2.7389915049789013
7,0.75,1,4000,2.708915445164273
7,0.75,1,5000,3.4261388326943227
7,0.75,1,6000,3.3635894148234518
7,0.75,1,7000,3.437050377856523
7,0.75,1,8000,3.5826084829047042
7,0.75,1,9000,3.4588032193356057
7,0.75,1,10000,3.3433930406402994
7,0.75,1,20000,3.0145569252533133
7,0.75,1,30000,3.191871595032914
7,0.75,1,40000,3.2158306691608423
8,0.75,1,100,2.1524489398742066
8,0.75,1,200,2.090182073890445
8,0.75,1,300,1.8977250977044613
8,0.75,1,400,2.0670825578491314
8,0.75,1,500,2.330881300345218
8,0.75,1,600,2.031337586763513
8,0.75,1,700,2.0315037410601424
8,0.75,1,800,1.909071156598356
8,0.75,1,900,1.8064349441709897
8,0.75,1,1000,2.744995059231624
8,0.75,1,2000,3.767259608105611
8,0.75,1,3000,3.4955654102389797
8,0.75,1,4000,3.256836535608998
8,0.75,1,5000,3.004100825254358
8,0.75,1,6000,2.9922027496765082
8,0.75,1,7000,2.8618789793965753
8,0.75,1,8000,2.766544969586706
8,0.75,1,9000,2.7654722105863194
8,0.75,1,10000,2.756087920431163
8,0.75,1,20000,2.8619386147557053
8,0.75,1,30000,2.818807277202278
8,0.75,1,40000,2.8122991810601254
9,0.75,1,100,4.266050255665262
9,0.75,1,200,3.768440934037145
9,0.75,1,300,3.2118577358576506
9,0.75,1,400,2.77835817324092
9,0.75,1,500,2.41611325509222
9,0.75,1,600,2.36473295258907
9,0.75,1,700,2.5451925236580517
9,0.75,1,800,2.780837448095131
9,0.75,1,900,2.7667466656603916
9,0.75,1,1000,2.7305316239261392
9,0.75,1,2000,2.7481661450614316
9,0.75,1,3000,2.666345287594997
9,0.75,1,4000,3.04952833430698
9,0.75,1,5000,3.009977207619613
9,0.75,1,6000,2.898216159565818
9,0.75,1,7000,2.8389910830502383
9,0.75,1,8000,2.8212069296944393
9,0.75,1,9000,2.8097090399058717
9,0.75,1,10000,2.9918138617105505
9,0.75,1,20000,2.9227653633449373
9,0.75,1,30000,2.879347466789185
9,0.75,1,40000,2.8325377714557862
10,0.75,1,100,1.5631421056353556
10,0.75,1,200,1.8908021437817748
10,0.75,1,300,2.1648888382005693
10,0.75,1,400,1.994005207758073
10,0.75,1,500,2.1609118712491964
10,0.75,1,600,2.0719515937060815
10,0.75,1,700,1.8844220017019588
10,0.75,1,800,2.273670125558139
10,0.75,1,900,2.38031746788754
10,0.75,1,1000,2.385485161059057
10,0.75,1,2000,2.5545841340780022
10,0.75,1,3000,2.588322922956826
10,0.75,1,4000,2.8527855785312375
10,0.75,1,5000,3.0233062463901255
10,0.75,1,6000,3.03029273074695
10,0.75,1,7000,3.123664278492399
10,0.75,1,8000,3.167095659697093
10,0.75,1,9000,3.1430093790915463
10,0.75,1,10000,3.1688281529461575
10,0.75,1,20000,3.1416959999654313
10,0.75,1,30000,3.123883460899407
10,0.75,1,40000,3.0696646846427966
11,0.75,1,100,8.9030313982456
11,0.75,1,200,5.227571062905122
11,0.75,1,300,5.737412319892084
11,0.75,1,400,5.275284998306742
11,0.75,1,500,4.888513234480599
11,0.75,1,600,4.444568647687956
11,0.75,1,700,4.279801375872949
11,0.75,1,800,5.456581260006454
11,0.75,1,900,5.050689527742809
11,0.75,1,1000,4.779177509808045
11,0.75,1,2000,3.759082968270329
11,0.75,1,3000,3.3004467376510025
11,0.75,1,4000,3.3409238162608705
11,0.75,1,5000,3.303758455165664
11,0.75,1,6000,3.1355799937518096
11,0.75,1,7000,3.0817552877041945
11,0.75,1,8000,3.054915601130791
11,0.75,1,9000,3.051684706777474
11,0.75,1,10000,2.956976375792145
11,0.75,1,20000,2.9545488782979636
11,0.75,1,30000,2.985126409439985
11,0.75,1,40000,3.0648832899302585
12,0.75,1,100,4.435885567727519
12,0.75,1,200,3.1155209453634103
12,0.75,1,300,2.5301425775522635
12,0.75,1,400,2.095944219256022
12,0.75,1,500,1.8470825100889154
12,0.75,1,600,2.9528894662525644
12,0.75,1,700,3.856141591820334
12,0.75,1,800,3.85678065080188
12,0.75,1,900,3.8834454998799006
12,0.75,1,1000,3.655198740679884
12,0.75,1,2000,3.3825692053511447
12,0.75,1,3000,3.581804253369658
12,0.75,1,4000,3.495169949346917
12,0.75,1,5000,3.347584442116288
12,0.75,1,6000,3.2039950444255156
12,0.75,1,7000,3.3059306529371875
12,0.75,1,8000,3.138195185928376
12,0.75,1,9000,3.0817662738870024
12,0.75,1,10000,3.0590406498327742
12,0.75,1,20000,3.0812232647067828
