Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.9,2,10,0,0.0
0.9,2,1010,0,2.63271681765113
0.9,2,2010,0,3.520173432410269
0.9,2,3010,0,3.252799698125138
0.9,2,4010,0,3.3387180640015344
0.9,2,5010,0,4.4309735282236
0.9,2,6010,0,5.09705801560488
0.9,2,7010,0,5.213844703964213
0.9,2,8010,0,5.1956614049376055
0.9,2,9010,0,5.050354899969979
0.9,2,10010,0,5.000290314576017
0.9,2,11010,0,4.933782101881196
0.9,2,12010,0,4.933782101881196
0.9,2,13010,0,4.933782101881196
0.9,2,14010,0,4.933782101881196
0.9,2,15010,0,4.933782101881196
0.9,2,16010,0,4.933782101881196
0.9,2,17010,0,4.933782101881196
0.9,2,18010,0,4.933782101881196
0.9,2,19010,0,4.933782101881196
0.9,2,20010,0,4.933782101881196
0.9,2,21010,0,4.933782101881196
0.9,2,22010,0,4.933782101881196
0.9,2,23010,0,4.933782101881196
0.9,2,24010,0,4.933782101881196
0.9,2,25010,0,4.933782101881196
0.9,2,26010,0,4.933782101881196
0.9,2,27010,0,4.933782101881196
0.9,2,28010,0,4.933782101881196
0.9,2,29010,0,4.933782101881196
0.9,2,10,1,0.4032210351720388
0.9,2,1010,1,5.775656813951858
0.9,2,2010,1,6.1634398675645
0.9,2,3010,1,5.48906663551494
0.9,2,4010,1,4.675348300986135
0.9,2,5010,1,4.629571970924288
0.9,2,6010,1,4.570971092715118
0.9,2,7010,1,4.478586183567713
0.9,2,8010,1,4.169470925625021
0.9,2,9010,1,4.013816961548354
0.9,2,10010,1,4.364950158051642
0.9,2,11010,1,4.636192547058063
0.9,2,12010,1,4.636192547058063
0.9,2,13010,1,4.636192547058063
0.9,2,14010,1,4.636192547058063
0.9,2,15010,1,4.636192547058063
0.9,2,16010,1,4.636192547058063
0.9,2,17010,1,4.636192547058063
0.9,2,18010,1,4.636192547058063
0.9,2,19010,1,4.636192547058063
0.9,2,20010,1,4.636192547058063
0.9,2,21010,1,4.636192547058063
0.9,2,22010,1,4.636192547058063
0.9,2,23010,1,4.636192547058063
0.9,2,24010,1,4.636192547058063
0.9,2,25010,1,4.636192547058063
0.9,2,26010,1,4.636192547058063
0.9,2,27010,1,4.636192547058063
0.9,2,28010,1,4.636192547058063
0.9,2,29010,1,4.636192547058063
0.9,2,10,2,0.3554304508366906
0.9,2,1010,2,4.938944131452468
0.9,2,2010,2,4.544507791990282
0.9,2,3010,2,3.695070666310535
0.9,2,4010,2,5.599958074032184
0.9,2,5010,2,4.916251951160868
0.9,2,6010,2,4.813291656641806
0.9,2,7010,2,4.597782463909872
0.9,2,8010,2,4.365904854423639
0.9,2,9010,2,4.08801934719659
0.9,2,10010,2,4.1036345124057005
0.9,2,11010,2,4.368906120927825
0.9,2,12010,2,4.368906120927825
0.9,2,13010,2,4.368906120927825
0.9,2,14010,2,4.368906120927825
0.9,2,15010,2,4.368906120927825
0.9,2,16010,2,4.368906120927825
0.9,2,17010,2,4.368906120927825
0.9,2,18010,2,4.368906120927825
0.9,2,19010,2,4.368906120927825
0.9,2,20010,2,4.368906120927825
0.9,2,21010,2,4.368906120927825
0.9,2,22010,2,4.368906120927825
0.9,2,23010,2,4.368906120927825
0.9,2,24010,2,4.368906120927825
0.9,2,25010,2,4.368906120927825
0.9,2,26010,2,4.368906120927825
0.9,2,27010,2,4.368906120927825
0.9,2,28010,2,4.368906120927825
0.9,2,29010,2,4.368906120927825
0.9,2,10,3,0.01391544478300708
0.9,2,1010,3,3.613141289510174
0.9,2,2010,3,3.2677060531882045
0.9,2,3010,3,3.1164935744686817
0.9,2,4010,3,4.5625666555132
0.9,2,5010,3,4.835225649688584
0.9,2,6010,3,5.021936283413374
0.9,2,7010,3,4.796852380938022
0.9,2,8010,3,4.528088357796154
0.9,2,9010,3,4.453750416706882
0.9,2,10010,3,4.445788673055249
0.9,2,11010,3,4.233866311860293
0.9,2,12010,3,4.233866311860293
0.9,2,13010,3,4.233866311860293
0.9,2,14010,3,4.233866311860293
0.9,2,15010,3,4.233866311860293
0.9,2,16010,3,4.233866311860293
0.9,2,17010,3,4.233866311860293
0.9,2,18010,3,4.233866311860293
0.9,2,19010,3,4.233866311860293
0.9,2,20010,3,4.233866311860293
0.9,2,21010,3,4.233866311860293
0.9,2,22010,3,4.233866311860293
0.9,2,23010,3,4.233866311860293
0.9,2,24010,3,4.233866311860293
0.9,2,25010,3,4.233866311860293
0.9,2,26010,3,4.233866311860293
0.9,2,27010,3,4.233866311860293
0.9,2,28010,3,4.233866311860293
0.9,2,29010,3,4.233866311860293
0.9,2,10,4,0.5349022265523656
0.9,2,1010,4,3.6656071238716357
0.9,2,2010,4,4.416171779404512
0.9,2,3010,4,4.662058293139475
0.9,2,4010,4,4.270528077915351
0.9,2,5010,4,3.9186522776827424
0.9,2,6010,4,4.013719602867898
0.9,2,7010,4,4.637464050073935
0.9,2,8010,4,4.507736754410247
0.9,2,9010,4,4.346880952552748
0.9,2,10010,4,4.229545133785729
0.9,2,11010,4,4.244315037250379
0.9,2,12010,4,4.244315037250379
0.9,2,13010,4,4.244315037250379
0.9,2,14010,4,4.244315037250379
0.9,2,15010,4,4.244315037250379
0.9,2,16010,4,4.244315037250379
0.9,2,17010,4,4.244315037250379
0.9,2,18010,4,4.244315037250379
0.9,2,19010,4,4.244315037250379
0.9,2,20010,4,4.244315037250379
0.9,2,21010,4,4.244315037250379
0.9,2,22010,4,4.244315037250379
0.9,2,23010,4,4.244315037250379
0.9,2,24010,4,4.244315037250379
0.9,2,25010,4,4.244315037250379
0.9,2,26010,4,4.244315037250379
0.9,2,27010,4,4.244315037250379
0.9,2,28010,4,4.244315037250379
0.9,2,29010,4,4.244315037250379
0.9,2,10,5,0.19542590625508036
0.9,2,1010,5,8.881418088099474
0.9,2,2010,5,6.045103537890349
0.9,2,3010,5,4.536275880108735
0.9,2,4010,5,4.071593757983967
0.9,2,5010,5,5.29821179172281
0.9,2,6010,5,6.124801723148557
0.9,2,7010,5,6.048615941239381
0.9,2,8010,5,5.702680642350181
0.9,2,9010,5,5.243487238887468
0.9,2,10010,5,5.351671772692447
0.9,2,11010,5,5.064340866483142
0.9,2,12010,5,5.064340866483142
0.9,2,13010,5,5.064340866483142
0.9,2,14010,5,5.064340866483142
0.9,2,15010,5,5.064340866483142
0.9,2,16010,5,5.064340866483142
0.9,2,17010,5,5.064340866483142
0.9,2,18010,5,5.064340866483142
0.9,2,19010,5,5.064340866483142
0.9,2,20010,5,5.064340866483142
0.9,2,21010,5,5.064340866483142
0.9,2,22010,5,5.064340866483142
0.9,2,23010,5,5.064340866483142
0.9,2,24010,5,5.064340866483142
0.9,2,25010,5,5.064340866483142
0.9,2,26010,5,5.064340866483142
0.9,2,27010,5,5.064340866483142
0.9,2,28010,5,5.064340866483142
0.9,2,29010,5,5.064340866483142
0.9,2,10,6,0.3308380093252913
0.9,2,1010,6,4.890859567829706
0.9,2,2010,6,3.4244763061043035
0.9,2,3010,6,3.4333538864860658
0.9,2,4010,6,3.3746631164719436
0.9,2,5010,6,5.393487355779812
0.9,2,6010,6,5.40105630391388
0.9,2,7010,6,5.6620317597828835
0.9,2,8010,6,5.2470501904708815
0.9,2,9010,6,5.0627449002658444
0.9,2,10010,6,4.851961122428496
0.9,2,11010,6,4.766226117070691
0.9,2,12010,6,4.766226117070691
0.9,2,13010,6,4.766226117070691
0.9,2,14010,6,4.766226117070691
0.9,2,15010,6,4.766226117070691
0.9,2,16010,6,4.766226117070691
0.9,2,17010,6,4.766226117070691
0.9,2,18010,6,4.766226117070691
0.9,2,19010,6,4.766226117070691
0.9,2,20010,6,4.766226117070691
0.9,2,21010,6,4.766226117070691
0.9,2,22010,6,4.766226117070691
0.9,2,23010,6,4.766226117070691
0.9,2,24010,6,4.766226117070691
0.9,2,25010,6,4.766226117070691
0.9,2,26010,6,4.766226117070691
0.9,2,27010,6,4.766226117070691
0.9,2,28010,6,4.766226117070691
0.9,2,29010,6,4.766226117070691
0.9,2,10,7,0.01592440363730066
0.9,2,1010,7,4.680861834514591
0.9,2,2010,7,5.387689421691321
0.9,2,3010,7,5.6038121794246525
0.9,2,4010,7,5.793949205265723
0.9,2,5010,7,6.8830558852508075
0.9,2,6010,7,6.113951130730058
0.9,2,7010,7,6.21556241544001
0.9,2,8010,7,5.932835675290281
0.9,2,9010,7,5.443420974394143
0.9,2,10010,7,5.356509304887471
0.9,2,11010,7,5.227010494317435
0.9,2,12010,7,5.227010494317435
0.9,2,13010,7,5.227010494317435
0.9,2,14010,7,5.227010494317435
0.9,2,15010,7,5.227010494317435
0.9,2,16010,7,5.227010494317435
0.9,2,17010,7,5.227010494317435
0.9,2,18010,7,5.227010494317435
0.9,2,19010,7,5.227010494317435
0.9,2,20010,7,5.227010494317435
0.9,2,21010,7,5.227010494317435
0.9,2,22010,7,5.227010494317435
0.9,2,23010,7,5.227010494317435
0.9,2,24010,7,5.227010494317435
0.9,2,25010,7,5.227010494317435
0.9,2,26010,7,5.227010494317435
0.9,2,27010,7,5.227010494317435
0.9,2,28010,7,5.227010494317435
0.9,2,29010,7,5.227010494317435
0.9,2,10,8,2.684626722524512
0.9,2,1010,8,6.457235387128963
0.9,2,2010,8,6.196094983672505
0.9,2,3010,8,5.428865681044332
0.9,2,4010,8,8.036540607243065
0.9,2,5010,8,7.238761792230641
0.9,2,6010,8,6.4158686234027344
0.9,2,7010,8,5.820342263963337
0.9,2,8010,8,5.337136997448195
0.9,2,9010,8,5.266007539508151
0.9,2,10010,8,4.986623864304571
0.9,2,11010,8,4.759931593048116
0.9,2,12010,8,4.759931593048116
0.9,2,13010,8,4.759931593048116
0.9,2,14010,8,4.759931593048116
0.9,2,15010,8,4.759931593048116
