Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.75,1,20000,2,1.4807843787290278
0.75,1,30000,2,1.4807843787290278
0.75,1,40000,2,1.4807843787290278
0.75,1,50000,2,1.4807843787290278
0.75,1,60000,2,1.4807843787290278
0.75,1,70000,2,1.4807843787290278
0.75,1,80000,2,1.4807843787290278
0.75,1,90000,2,1.4807843787290278
0.75,1,100000,2,1.4807843787290278
0.75,1,100,3,1.7909067245239378
0.75,1,200,3,1.5627879638058113
0.75,1,300,3,1.2810432631584938
0.75,1,400,3,1.1929398120192027
0.75,1,500,3,1.249730422097465
0.75,1,600,3,1.262941764625646
0.75,1,700,3,1.216180888463017
0.75,1,800,3,1.3076612767929943
0.75,1,900,3,1.2210314802555922
0.75,1,1000,3,1.202204350619168
0.75,1,2000,3,1.4583762154848532
0.75,1,3000,3,1.642665253240567
0.75,1,4000,3,1.5545710625589877
0.75,1,5000,3,1.5157356094083254
0.75,1,6000,3,1.5157356094083254
0.75,1,7000,3,1.5157356094083254
0.75,1,8000,3,1.5157356094083254
0.75,1,9000,3,1.5157356094083254
0.75,1,10000,3,1.5157356094083254
0.75,1,20000,3,1.5157356094083254
0.75,1,30000,3,1.5157356094083254
0.75,1,40000,3,1.5157356094083254
0.75,1,50000,3,1.5157356094083254
0.75,1,60000,3,1.5157356094083254
0.75,1,70000,3,1.5157356094083254
0.75,1,80000,3,1.5157356094083254
0.75,1,90000,3,1.5157356094083254
0.75,1,100000,3,1.5157356094083254
0.75,1,100,4,0.9228899596574048
0.75,1,200,4,1.008294921800879
0.75,1,300,4,0.9877530347909411
0.75,1,400,4,1.0271352434220566
0.75,1,500,4,1.1576416296434868
0.75,1,600,4,1.2053408849424705
0.75,1,700,4,1.2341381057973912
0.75,1,800,4,1.2190514299318997
0.75,1,900,4,1.2409322540789776
0.75,1,1000,4,1.341427028929791
0.75,1,2000,4,1.4362056300831436
0.75,1,3000,4,1.4452252234905976
0.75,1,4000,4,1.4636454329343296
0.75,1,5000,4,1.4819684570607556
0.75,1,6000,4,1.4819684570607556
0.75,1,7000,4,1.4819684570607556
0.75,1,8000,4,1.4819684570607556
0.75,1,9000,4,1.4819684570607556
0.75,1,10000,4,1.4819684570607556
0.75,1,20000,4,1.4819684570607556
